param_name,param_value,trial_id,initial_variance,final_variance,variance_reduction,initial_range,final_range,final_mean,final_std,converged
single,1.0,0,4.197530864197531,1.7049382716049384,0.5938235293976177,6,9,7.91358024691358,1.3057328484820079,False
single,1.0,1,4.197530864197531,1.8299382716049384,0.5640441176336213,6,9,7.91358024691358,1.3527521101831401,False
single,1.0,2,4.197530864197531,1.2697530864197528,0.6974999999833832,6,8,7.827160493827161,1.1268332114469084,False
single,2.0,0,4.197530864197531,6.678086419753088,-0.5909558823388629,6,8,6.506172839506172,2.584199376935357,False
single,2.0,1,4.197530864197531,1.6929012345679013,0.5966911764563729,6,8,7.790123456790123,1.30111538095893,False
single,2.0,2,4.197530864197531,1.5944444444444443,0.6201470588087554,6,8,7.925925925925926,1.2627131283250541,False
single,3.0,0,4.197530864197531,5.1688271604938265,-0.23139705881801656,6,8,7.135802469135802,2.2735054784393696,False
single,3.0,1,4.197530864197531,3.1530864197530866,0.24882352940583682,6,8,7.506172839506172,1.7756932223087092,False
single,3.0,2,4.197530864197531,2.1679012345679007,0.48352941175318664,6,8,7.209876543209877,1.4723794465313282,False
single,4.0,0,4.197530864197531,1.2944444444444445,0.6916176470423467,6,8,7.7407407407407405,1.1377365443917342,False
single,4.0,1,4.197530864197531,5.330864197530864,-0.26999999999356755,6,8,6.283950617283951,2.3088664312884934,False
single,4.0,2,4.197530864197531,1.2725308641975308,0.6968382352775164,6,8,8.049382716049383,1.1280650974999318,False
