param_value,timestep,ranking,count,total,proportion
0.5,13,8,42,75,0.56
0.5,13,9,22,75,0.29333333333333333
0.5,13,10,1,75,0.013333333333333334
0.5,14,6,1,40,0.025
0.5,14,7,1,40,0.025
0.5,14,8,15,40,0.375
0.5,14,9,22,40,0.55
0.5,14,10,1,40,0.025
0.5,15,7,1,40,0.025
0.5,15,8,15,40,0.375
0.5,15,9,23,40,0.575
0.5,15,10,1,40,0.025
0.5,16,7,4,40,0.1
0.5,16,8,25,40,0.625
0.5,16,9,10,40,0.25
0.5,16,10,1,40,0.025
0.5,17,7,1,40,0.025
0.5,17,8,30,40,0.75
0.5,17,9,8,40,0.2
0.5,17,10,1,40,0.025
0.5,18,7,5,40,0.125
0.5,18,8,18,40,0.45
0.5,18,9,16,40,0.4
0.5,18,10,1,40,0.025
0.5,19,7,2,40,0.05
0.5,19,8,25,40,0.625
0.5,19,9,12,40,0.3
0.5,19,10,1,40,0.025
0.5,20,7,1,40,0.025
0.5,20,8,15,40,0.375
0.5,20,9,24,40,0.6
