param_value,timestep,variance,bimodality_kurtosis
0.3,0,8.754761904761905,-1.2306920933654797
0.3,1,7.949408284023667,-0.9985985281741585
0.3,2,8.726686390532544,-1.1163844595406345
0.3,3,6.355976331360948,0.10321841950001032
0.3,4,6.273668639053255,0.24972828711268358
0.3,5,6.37775147928994,0.485506412843832
0.3,6,5.516923076923077,1.2294686313416285
0.3,7,3.852307692307692,2.8636775408547592
0.3,8,3.083136094674556,4.721862703675871
0.3,9,2.540177514792899,4.896713739187408
0.3,10,2.4731360946745564,4.859151076196432
0.3,11,2.4739053254437873,5.436679457890639
0.3,12,2.263668639053254,5.992391480599299
0.3,13,1.9549305555555556,6.071229650469851
0.3,14,2.304214876033058,5.333090982662066
0.3,15,2.7732231404958663,6.0001363830368994
0.5,0,8.981972789115646,-1.2604653240550794
0.5,1,7.653696772826776,-0.19980467682501413
0.5,2,8.173365264473135,-0.38003857758930515
0.5,3,6.891358024691356,0.4531048190548521
0.5,4,6.49432098765432,0.5302282725857137
0.5,5,8.341358024691358,-0.22628421398550902
0.5,6,8.267777777777779,0.08743627985748725
0.5,7,6.242469135802469,2.124742744418702
0.5,8,5.249506172839506,3.2348628358552176
0.5,9,4.501728395061728,4.501938738594425
0.5,10,4.312222222222222,4.53751184839944
0.5,11,3.6266666666666665,4.868340902537484
0.5,12,3.5239506172839503,5.470195805013169
0.5,13,3.249876543209877,5.697427503363517
0.5,14,2.538765432098766,5.619706119751349
0.5,15,2.5668967784352392,7.324967580045669
0.7,0,8.343333333333334,-1.2464621929741615
0.7,1,7.478095238095238,-0.972639526606458
0.7,2,7.260861678004535,-0.7908162404008272
0.7,3,6.118571428571429,-0.04404873962397504
0.7,4,6.669841269841269,0.24122191082825717
0.7,5,7.124263038548753,-0.04834638887762521
0.7,6,5.678004535147392,1.3765959129928866
0.7,7,6.0298412698412704,0.6849388515245121
0.7,8,5.100136054421769,2.1031384940114233
0.7,9,4.479115646258504,2.6792648414543656
0.7,10,4.446167800453514,2.790286823257622
0.7,11,4.036643990929704,3.585753600982703
0.7,12,3.2505442176870747,5.025023713830224
0.7,13,3.114195011337868,5.534231506313748
0.7,14,2.9001360544217683,6.241225609712945
0.7,15,2.591496598639456,6.375943004585375
