param_name,param_value,trial_id,initial_variance,final_variance,variance_reduction,initial_range,final_range,final_mean,final_std,converged
p,0.3,0,10.414285714285715,1.0619047619047617,0.8980338362968182,9,4,8.476190476190476,1.030487633067356,False
p,0.3,1,9.233333333333334,6.190476190476192,0.3295513151073127,9,9,6.761904761904762,2.488066757640597,False
p,0.3,2,8.46190476190476,0.8904761904761905,0.8947664603158186,9,4,8.095238095238095,0.9436504599035548,True
p,0.3,3,11.147619047619047,3.0571428571428565,0.7257582229751214,9,8,8.571428571428571,1.748468717805056,False
p,0.3,4,6.847619047619048,0.7619047619047618,0.8887343532554497,9,4,8.476190476190476,0.8728715609439694,True
p,0.3,5,9.290476190476191,,,8,0,10.0,,False
p,0.3,6,8.028571428571428,,,9,0,10.0,,False
p,0.3,7,9.661904761904761,,,9,0,10.0,,False
p,0.3,8,10.057142857142857,,,9,0,10.0,,False
p,0.3,9,6.09047619047619,,,9,0,10.0,,False
p,0.5,0,5.9142857142857155,,,9,0,10.0,,False
p,0.5,1,9.490476190476189,,,9,0,10.0,,False
p,0.5,2,8.72857142857143,4.061904761904762,0.5346426622961117,9,9,8.476190476190476,2.0154167712671147,False
p,0.5,3,11.761904761904763,1.014285714285714,0.913765182178466,9,4,8.714285714285714,1.0071175275436894,False
p,0.5,4,7.457142857142857,3.690476190476191,0.5051085568259212,9,7,8.761904761904763,1.921061214661363,False
p,0.5,5,11.49047619047619,1.4444444444444446,0.8742920292782042,9,3,8.222222222222221,1.2018504251546631,False
p,0.5,6,11.12857142857143,,,9,0,10.0,,False
p,0.5,7,8.733333333333333,,,9,0,10.0,,False
p,0.5,8,10.74761904761905,,,9,0,10.0,,False
p,0.5,9,7.633333333333333,,,9,0,10.0,,False
p,0.7,0,8.233333333333333,0.6619047619047618,0.919606709069224,9,3,8.476190476190476,0.8135752957807666,True
p,0.7,1,9.733333333333334,0.6333333333333334,0.9349315068397097,9,3,8.666666666666666,0.7958224257542215,True
p,0.7,2,7.147619047619048,0.6,0.9160559626787228,9,2,9.0,0.7745966692414834,True
p,0.7,3,7.914285714285714,1.0619047619047621,0.8658243080516351,8,3,8.523809523809524,1.0304876330673562,False
p,0.7,4,7.957142857142858,0.3571428571428571,0.9551166965768657,9,2,8.428571428571429,0.5976143046671968,True
p,0.7,5,6.161904761904763,6.2904761904761894,-0.020865533229954675,8,8,7.095238095238095,2.508082173788608,False
p,0.7,6,7.9,5.257142857142857,0.3345388788384417,9,9,7.571428571428571,2.2928460168844436,False
p,0.7,7,9.62857142857143,7.261904761904759,0.24579624134265038,9,8,8.19047619047619,2.6947921556039827,False
p,0.7,8,8.89047619047619,0.9333333333333332,0.8950187466423163,9,3,8.666666666666666,0.9660917830792959,True
p,0.7,9,10.390476190476189,0.7476190476190474,0.9280476626858438,9,3,8.952380952380953,0.8646496675642958,True
