Timestamp,Trial #,Graph Type,Param Value,Communication Style,Bot Present,Agreement Level,Is DeGroot Baseline
2,0,random_geometric,0.25,Assertive,Y,4.525623582766439,True
2,0,random_geometric,0.25,Assertive,Y,4.632698412698413,True
2,0,random_geometric,0.25,Assertive,Y,4.316111111111112,True
2,0,random_geometric,0.25,Assertive,Y,5.1837301587301585,True
2,0,random_geometric,0.25,Aggressive,Y,4.96952380952381,True
2,0,random_geometric,0.25,Aggressive,Y,5.131657848324515,True
2,0,random_geometric,0.25,Aggressive,Y,4.663492063492063,True
2,0,random_geometric,0.25,Aggressive,Y,4.93061224489796,True
2,0,random_geometric,0.25,Aggressive,Y,4.512522045855379,True
2,0,random_geometric,0.25,Aggressive,Y,4.700226757369614,True
2,0,random_geometric,0.25,Aggressive,Y,5.502539682539683,True
2,0,random_geometric,0.25,Aggressive,Y,5.2785714285714285,True
2,0,random_geometric,0.25,Passive,Y,5.191111111111111,True
2,0,random_geometric,0.25,Passive,Y,5.807936507936508,True
2,0,random_geometric,0.25,Passive,Y,4.766490299823634,True
2,0,random_geometric,0.25,Passive,Y,5.0172839506172835,True
2,0,random_geometric,0.25,Passive,Y,3.666666666666666,True
2,0,random_geometric,0.25,Passive,Y,4.535,True
2,0,random_geometric,0.25,Passive,Y,4.549206349206349,True
2,0,random_geometric,0.25,Passive,Y,5.835374149659863,True
2,0,random_geometric,0.25,Passive,Y,4.458641975308642,True
2,0,random_geometric,0.25,Passive,Y,4.7634920634920634,True
2,0,random_geometric,0.25,Passive,Y,4.388333333333334,True
2,0,random_geometric,0.25,Passive,Y,5.75,True
2,0,random_geometric,0.25,Passive-Aggressive,Y,4.61058201058201,True
2,0,random_geometric,0.25,Passive-Aggressive,Y,4.388333333333334,True
2,0,random_geometric,0.25,Passive-Aggressive,Y,5.724263038548752,True
2,0,random_geometric,0.25,Passive-Aggressive,Y,5.914285714285715,True
2,0,random_geometric,0.25,Passive-Aggressive,Y,4.512522045855379,True
2,0,random_geometric,0.25,Passive-Aggressive,Y,4.325,True
2,0,random_geometric,0.25,Passive-Aggressive,Y,4.702040816326531,True
2,0,random_geometric,0.25,Passive-Aggressive,Y,4.608730158730159,True
2,0,random_geometric,0.25,Passive-Aggressive,Y,1.0,True
3,0,random_geometric,0.25,Assertive,Y,5.014134794658605,True
3,0,random_geometric,0.25,Assertive,Y,4.063631227954144,True
3,0,random_geometric,0.25,Assertive,Y,4.113605442176871,True
3,0,random_geometric,0.25,Assertive,Y,4.617898966994206,True
3,0,random_geometric,0.25,Assertive,Y,4.113605442176871,True
3,0,random_geometric,0.25,Assertive,Y,5.685340450995213,True
3,0,random_geometric,0.25,Assertive,Y,4.569544385655496,True
3,0,random_geometric,0.25,Assertive,Y,5.739463340891912,True
3,0,random_geometric,0.25,Assertive,Y,4.586129287693913,True
3,0,random_geometric,0.25,Assertive,Y,4.61558982111363,True
3,0,random_geometric,0.25,Assertive,Y,4.148616622574957,True
3,0,random_geometric,0.25,Assertive,Y,5.038355851599899,True
3,0,random_geometric,0.25,Aggressive,Y,5.014134794658605,True
3,0,random_geometric,0.25,Aggressive,Y,4.908719065815626,True
3,0,random_geometric,0.25,Aggressive,Y,4.665886873267826,True
3,0,random_geometric,0.25,Aggressive,Y,4.741300615484288,True
3,0,random_geometric,0.25,Aggressive,Y,4.586201674085271,True
3,0,random_geometric,0.25,Aggressive,Y,4.6086664507072665,True
3,0,random_geometric,0.25,Aggressive,Y,5.447636558327035,True
3,0,random_geometric,0.25,Aggressive,Y,5.146006235827665,True
3,0,random_geometric,0.25,Passive,Y,5.087437389770724,True
3,0,random_geometric,0.25,Passive,Y,5.739463340891912,True
3,0,random_geometric,0.25,Passive,Y,4.720735561714397,True
3,0,random_geometric,0.25,Passive,Y,4.79893787967862,True
3,0,random_geometric,0.25,Passive,Y,3.841269841269841,True
3,0,random_geometric,0.25,Passive,Y,4.277807980599648,True
3,0,random_geometric,0.25,Passive,Y,4.627981859410431,True
3,0,random_geometric,0.25,Passive,Y,5.764437965662455,True
3,0,random_geometric,0.25,Passive,Y,4.223509945130315,True
3,0,random_geometric,0.25,Passive,Y,4.669881582262534,True
3,0,random_geometric,0.25,Passive,Y,4.229282407407408,True
3,0,random_geometric,0.25,Passive,Y,5.0375,True
3,0,random_geometric,0.25,Passive-Aggressive,Y,4.617070000839842,True
3,0,random_geometric,0.25,Passive-Aggressive,Y,4.229282407407408,True
3,0,random_geometric,0.25,Passive-Aggressive,Y,5.652633984810855,True
3,0,random_geometric,0.25,Passive-Aggressive,Y,5.752732426303854,True
3,0,random_geometric,0.25,Passive-Aggressive,Y,4.586201674085271,True
3,0,random_geometric,0.25,Passive-Aggressive,Y,3.847777777777778,True
3,0,random_geometric,0.25,Passive-Aggressive,Y,4.652642263254507,True
3,0,random_geometric,0.25,Passive-Aggressive,Y,4.5757977450239355,True
3,0,random_geometric,0.25,Passive-Aggressive,Y,1.0,True
4,0,random_geometric,0.25,Assertive,Y,4.921372787216004,True
4,0,random_geometric,0.25,Assertive,Y,3.885106207111189,True
4,0,random_geometric,0.25,Assertive,Y,4.202445335276968,True
4,0,random_geometric,0.25,Assertive,Y,4.615671498658251,True
4,0,random_geometric,0.25,Assertive,Y,4.202445335276968,True
4,0,random_geometric,0.25,Assertive,Y,5.586303391712358,True
4,0,random_geometric,0.25,Assertive,Y,4.592119074447337,True
4,0,random_geometric,0.25,Assertive,Y,5.67149594026323,True
4,0,random_geometric,0.25,Assertive,Y,4.596522379078447,True
4,0,random_geometric,0.25,Assertive,Y,4.616826358044687,True
4,0,random_geometric,0.25,Assertive,Y,3.9539581810244684,True
4,0,random_geometric,0.25,Assertive,Y,4.945130390424101,True
4,0,random_geometric,0.25,Aggressive,Y,4.921372787216004,True
4,0,random_geometric,0.25,Aggressive,Y,4.746427114271961,True
4,0,random_geometric,0.25,Aggressive,Y,4.633196238607141,True
4,0,random_geometric,0.25,Aggressive,Y,4.7401633109403996,True
4,0,random_geometric,0.25,Aggressive,Y,4.595900000688759,True
4,0,random_geometric,0.25,Aggressive,Y,4.617227781462798,True
4,0,random_geometric,0.25,Aggressive,Y,5.3191745059428825,True
4,0,random_geometric,0.25,Aggressive,Y,5.003275023170644,True
4,0,random_geometric,0.25,Passive,Y,4.958294583718261,True
4,0,random_geometric,0.25,Passive,Y,5.67149594026323,True
4,0,random_geometric,0.25,Passive,Y,4.571013616828925,True
4,0,random_geometric,0.25,Passive,Y,4.697879745496735,True
4,0,random_geometric,0.25,Passive,Y,4.0228269085411945,True
4,0,random_geometric,0.25,Passive,Y,4.124922177693094,True
4,0,random_geometric,0.25,Passive,Y,4.632071314592856,True
4,0,random_geometric,0.25,Passive,Y,5.683101152554748,True
4,0,random_geometric,0.25,Passive,Y,4.058720690579616,True
4,0,random_geometric,0.25,Passive,Y,4.639828251288757,True
4,0,random_geometric,0.25,Passive,Y,4.060052309828253,True
4,0,random_geometric,0.25,Passive,Y,4.442638888888888,True
4,0,random_geometric,0.25,Passive-Aggressive,Y,4.612625893748642,True
4,0,random_geometric,0.25,Passive-Aggressive,Y,4.060052309828253,True
4,0,random_geometric,0.25,Passive-Aggressive,Y,5.562527815342143,True
4,0,random_geometric,0.25,Passive-Aggressive,Y,5.662536850322139,True
4,0,random_geometric,0.25,Passive-Aggressive,Y,4.595900000688759,True
4,0,random_geometric,0.25,Passive-Aggressive,Y,3.5084736000881835,True
4,0,random_geometric,0.25,Passive-Aggressive,Y,4.6381359095918535,True
4,0,random_geometric,0.25,Passive-Aggressive,Y,4.60059132595572,True
4,0,random_geometric,0.25,Passive-Aggressive,Y,1.0,True
5,0,random_geometric,0.25,Assertive,Y,4.8451838042586495,True
5,0,random_geometric,0.25,Assertive,Y,3.7361548737921044,True
5,0,random_geometric,0.25,Assertive,Y,4.2919702225088825,True
5,0,random_geometric,0.25,Assertive,Y,4.614079455171991,True
5,0,random_geometric,0.25,Assertive,Y,4.2919702225088825,True
5,0,random_geometric,0.25,Assertive,Y,5.487882838834087,True
5,0,random_geometric,0.25,Assertive,Y,4.602134632364578,True
5,0,random_geometric,0.25,Assertive,Y,5.582349791013098,True
5,0,random_geometric,0.25,Assertive,Y,4.605084819952545,True
5,0,random_geometric,0.25,Assertive,Y,4.616070938784381,True
5,0,random_geometric,0.25,Assertive,Y,3.792017883847872,True
5,0,random_geometric,0.25,Assertive,Y,4.844812780626384,True
