Timestamp,Graph Type,Communication Style,Param Value,Bot Present,Is DeGroot Baseline,Mean Agreement Level,Std Agreement Level,Min Agreement Level,Max Agreement Level,Mean Dev from Mean,Mean Dev from Bot,DeGroot Gap
0,erdos_renyi,Passive,0.7,Y,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,erdos_renyi,Passive,1.0,N,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,erdos_renyi,Passive,1.0,N,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,erdos_renyi,Passive,1.0,Y,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.21052631578947345
0,erdos_renyi,Passive,1.0,Y,True,4.7894736842105265,2.170538539934921,1.0,7.0,,0.5789473684210527,0.21052631578947345
0,erdos_renyi,Passive-Aggressive,0.2,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,0.2,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,0.2,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,0.2,Y,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,0.5,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,0.5,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,0.5,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,0.5,Y,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,0.7,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,0.7,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,0.7,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.16000000000000014
0,erdos_renyi,Passive-Aggressive,0.7,Y,True,4.84,2.1540659228538015,1.0,7.0,,0.5733333333333333,0.16000000000000014
0,erdos_renyi,Passive-Aggressive,1.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,1.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,1.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,erdos_renyi,Passive-Aggressive,1.0,Y,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,random_geometric,Aggressive,0.25,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,random_geometric,Aggressive,0.25,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,random_geometric,Aggressive,0.25,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,random_geometric,Aggressive,0.25,Y,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,random_geometric,Aggressive,0.5,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,random_geometric,Aggressive,0.5,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,random_geometric,Aggressive,0.5,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.16000000000000014
0,random_geometric,Aggressive,0.5,Y,True,4.84,2.1540659228538015,1.0,7.0,,0.5733333333333333,0.16000000000000014
0,random_geometric,Aggressive,1.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,random_geometric,Aggressive,1.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
