param_value,timestep,mean_ranking,std_ranking,min_ranking,max_ranking,median_ranking
0.1,0,5.7,3.0577378510183366,1,10,6.0
0.1,1,6.252380952380952,3.0100500000010406,1,10,8.0
0.1,2,6.271428571428571,3.0210810918896343,1,10,7.0
0.1,3,6.4,2.9835273430452354,1,10,7.0
0.1,4,6.609523809523809,2.934680400734349,1,10,8.0
0.1,5,6.747619047619048,2.790640379873228,1,10,8.0
0.1,6,6.838095238095238,2.7707419058060347,1,10,8.0
0.1,7,6.9,2.6726507817066074,1,10,8.0
0.1,8,7.09047619047619,2.5763749544910883,1,10,8.0
0.1,9,7.252380952380952,2.520370415477535,1,10,8.0
0.1,10,7.328571428571428,2.5680485874502317,1,10,8.0
0.1,11,7.428571428571429,2.5220829200561785,1,10,8.0
0.1,12,7.5,2.492572699097677,1,10,8.0
0.1,13,7.523809523809524,2.5020383579007075,1,10,8.0
0.1,14,7.538095238095238,2.5398218282225966,1,10,8.0
0.1,15,7.542857142857143,2.604848520896132,1,10,8.0
0.3,0,5.642857142857143,2.878907193747638,1,10,6.0
0.3,1,6.495238095238095,2.737734926316182,1,10,8.0
0.3,2,6.480952380952381,2.818618727111217,1,10,7.0
0.3,3,6.890476190476191,2.502133971893989,1,10,8.0
0.3,4,7.109523809523809,2.3482467779286744,1,10,8.0
0.3,5,7.404761904761905,2.1704796705925826,1,10,8.0
0.3,6,7.585714285714285,1.9305614906479753,1,10,8.0
0.3,7,7.8,1.792595082328021,1,10,8.0
0.3,8,7.9523809523809526,1.7871468393707255,1,10,8.0
0.3,9,7.928571428571429,1.7333328951749452,1,10,8.0
0.3,10,7.9523809523809526,1.738287957055741,2,10,8.0
0.3,11,8.18095238095238,1.545364746161408,2,10,8.0
0.3,12,8.376190476190477,1.4759328448775337,2,10,9.0
0.3,13,8.357142857142858,1.3593804628035835,2,10,8.0
0.3,14,8.31904761904762,1.3190249579999769,2,10,8.0
0.3,15,8.352380952380953,1.2976309099982246,2,10,8.0
0.5,0,5.328571428571428,2.879002162522867,1,10,5.0
0.5,1,6.042857142857143,2.8809008805928067,1,10,7.0
0.5,2,6.119047619047619,2.9590699184727915,1,10,7.0
0.5,3,6.5095238095238095,2.816969215598806,1,10,8.0
0.5,4,6.771428571428571,2.678130973128016,1,10,8.0
0.5,5,7.1571428571428575,2.3879825579759877,1,10,8.0
0.5,6,7.714285714285714,2.076131319952974,1,10,8.0
0.5,7,8.004761904761905,1.7485403866394602,1,10,8.0
0.5,8,8.10952380952381,1.7090820619986933,1,10,8.0
0.5,9,8.142857142857142,1.8914492629786344,1,10,8.5
0.5,10,8.266666666666667,1.6845294753814868,1,10,9.0
0.5,11,8.352380952380953,1.6221018462585675,1,10,9.0
0.5,12,8.519047619047619,1.4350763271363733,1,10,9.0
0.5,13,8.60952380952381,1.2373396225514066,2,10,9.0
0.5,14,8.666666666666666,1.1463832593650658,2,10,9.0
0.5,15,8.652380952380952,1.1358107563659532,2,10,9.0
