param_value,timestep,ranking,count,total,proportion
0.2,15,1,2,105,0.01904761904761905
0.2,15,3,3,105,0.02857142857142857
0.2,15,5,1,105,0.009523809523809525
0.2,15,6,3,105,0.02857142857142857
0.2,15,7,11,105,0.10476190476190476
0.2,15,8,42,105,0.4
0.2,15,9,42,105,0.4
0.2,15,10,1,105,0.009523809523809525
0.5,0,1,11,120,0.09166666666666666
0.5,0,2,9,120,0.075
0.5,0,3,5,120,0.041666666666666664
0.5,0,4,14,120,0.11666666666666667
0.5,0,5,14,120,0.11666666666666667
0.5,0,6,20,120,0.16666666666666666
0.5,0,7,17,120,0.14166666666666666
0.5,0,8,8,120,0.06666666666666667
0.5,0,9,14,120,0.11666666666666667
0.5,0,10,8,120,0.06666666666666667
0.5,1,1,9,120,0.075
0.5,1,2,6,120,0.05
0.5,1,3,5,120,0.041666666666666664
0.5,1,4,11,120,0.09166666666666666
0.5,1,5,13,120,0.10833333333333334
0.5,1,6,6,120,0.05
0.5,1,7,10,120,0.08333333333333333
0.5,1,8,34,120,0.2833333333333333
0.5,1,9,26,120,0.21666666666666667
0.5,2,1,9,120,0.075
0.5,2,2,6,120,0.05
0.5,2,3,5,120,0.041666666666666664
0.5,2,4,11,120,0.09166666666666666
0.5,2,5,11,120,0.09166666666666666
0.5,2,6,8,120,0.06666666666666667
0.5,2,7,14,120,0.11666666666666667
0.5,2,8,30,120,0.25
0.5,2,9,26,120,0.21666666666666667
0.5,3,1,6,120,0.05
0.5,3,2,4,120,0.03333333333333333
0.5,3,3,5,120,0.041666666666666664
0.5,3,4,6,120,0.05
0.5,3,5,8,120,0.06666666666666667
0.5,3,6,6,120,0.05
0.5,3,7,12,120,0.1
0.5,3,8,42,120,0.35
0.5,3,9,31,120,0.25833333333333336
0.5,4,1,6,120,0.05
0.5,4,2,4,120,0.03333333333333333
0.5,4,3,5,120,0.041666666666666664
0.5,4,4,6,120,0.05
0.5,4,5,8,120,0.06666666666666667
0.5,4,6,7,120,0.058333333333333334
0.5,4,7,12,120,0.1
0.5,4,8,45,120,0.375
0.5,4,9,27,120,0.225
0.5,5,1,6,120,0.05
0.5,5,2,4,120,0.03333333333333333
0.5,5,3,5,120,0.041666666666666664
0.5,5,4,6,120,0.05
0.5,5,5,8,120,0.06666666666666667
0.5,5,6,7,120,0.058333333333333334
0.5,5,7,14,120,0.11666666666666667
0.5,5,8,43,120,0.35833333333333334
0.5,5,9,27,120,0.225
0.5,6,1,6,120,0.05
0.5,6,2,3,120,0.025
0.5,6,3,4,120,0.03333333333333333
0.5,6,4,6,120,0.05
0.5,6,5,8,120,0.06666666666666667
0.5,6,6,6,120,0.05
0.5,6,7,16,120,0.13333333333333333
0.5,6,8,39,120,0.325
0.5,6,9,32,120,0.26666666666666666
0.5,7,1,4,120,0.03333333333333333
0.5,7,2,3,120,0.025
0.5,7,3,3,120,0.025
0.5,7,4,6,120,0.05
0.5,7,5,8,120,0.06666666666666667
0.5,7,6,6,120,0.05
0.5,7,7,11,120,0.09166666666666666
0.5,7,8,42,120,0.35
0.5,7,9,35,120,0.2916666666666667
0.5,7,10,2,120,0.016666666666666666
0.5,8,1,2,120,0.016666666666666666
0.5,8,2,2,120,0.016666666666666666
0.5,8,3,2,120,0.016666666666666666
0.5,8,4,4,120,0.03333333333333333
0.5,8,5,3,120,0.025
0.5,8,6,7,120,0.058333333333333334
0.5,8,7,14,120,0.11666666666666667
0.5,8,8,47,120,0.39166666666666666
0.5,8,9,39,120,0.325
0.5,9,1,2,120,0.016666666666666666
0.5,9,2,2,120,0.016666666666666666
0.5,9,3,2,120,0.016666666666666666
0.5,9,4,4,120,0.03333333333333333
0.5,9,5,3,120,0.025
0.5,9,6,6,120,0.05
0.5,9,7,7,120,0.058333333333333334
0.5,9,8,46,120,0.38333333333333336
0.5,9,9,46,120,0.38333333333333336
0.5,9,10,2,120,0.016666666666666666
0.5,10,1,1,120,0.008333333333333333
0.5,10,2,2,120,0.016666666666666666
0.5,10,3,2,120,0.016666666666666666
0.5,10,4,3,120,0.025
0.5,10,5,2,120,0.016666666666666666
0.5,10,6,8,120,0.06666666666666667
0.5,10,7,14,120,0.11666666666666667
0.5,10,8,47,120,0.39166666666666666
0.5,10,9,41,120,0.3416666666666667
0.5,11,2,2,120,0.016666666666666666
0.5,11,3,1,120,0.008333333333333333
0.5,11,4,3,120,0.025
0.5,11,5,1,120,0.008333333333333333
0.5,11,6,8,120,0.06666666666666667
0.5,11,7,7,120,0.058333333333333334
0.5,11,8,57,120,0.475
0.5,11,9,41,120,0.3416666666666667
0.5,12,2,1,120,0.008333333333333333
0.5,12,3,1,120,0.008333333333333333
0.5,12,4,3,120,0.025
0.5,12,6,5,120,0.041666666666666664
0.5,12,7,10,120,0.08333333333333333
0.5,12,8,63,120,0.525
0.5,12,9,37,120,0.30833333333333335
0.5,13,2,1,120,0.008333333333333333
0.5,13,3,1,120,0.008333333333333333
0.5,13,4,3,120,0.025
0.5,13,6,4,120,0.03333333333333333
0.5,13,7,7,120,0.058333333333333334
0.5,13,8,58,120,0.48333333333333334
0.5,13,9,45,120,0.375
0.5,13,10,1,120,0.008333333333333333
0.5,14,2,1,120,0.008333333333333333
0.5,14,3,1,120,0.008333333333333333
0.5,14,4,3,120,0.025
0.5,14,6,2,120,0.016666666666666666
