param_name,param_value,trial_id,timestep,semantic_variance,semantic_spread,polarization_index,mean_similarity,num_reasons
p,0.2,0,0,0.04329156130552292,0.4998708665370941,0.3157133460044861,0.6842866539955139,14
p,0.2,0,1,0.02060234546661377,0.5285472273826599,0.3272339105606079,0.6727660894393921,12
p,0.2,0,2,0.016173364594578743,0.49222877621650696,0.2907702922821045,0.7092297077178955,9
p,0.2,0,3,0.019131705164909363,0.5176978707313538,0.3281630873680115,0.6718369126319885,8
p,0.2,0,4,0.003435104852542281,0.35675615072250366,0.1470487117767334,0.8529512882232666,9
p,0.2,0,5,0.012686504051089287,0.42720693349838257,0.2091345191001892,0.7908654808998108,15
p,0.2,0,6,0.018016282469034195,0.38089892268180847,0.17669188976287842,0.8233081102371216,13
p,0.2,0,7,0.000872337375767529,0.4829404950141907,0.3121383786201477,0.6878616213798523,4
p,0.2,0,8,0.0029890467412769794,0.4680142104625702,0.2960349917411804,0.7039650082588196,4
p,0.2,0,9,0.027336550876498222,0.4676456153392792,0.36904335021972656,0.6309566497802734,3
p,0.2,0,10,0.008165192790329456,0.5166732668876648,0.330139696598053,0.669860303401947,6
p,0.2,0,11,0.023939814418554306,0.3961423933506012,0.22608572244644165,0.7739142775535583,5
p,0.2,0,12,0.009536045603454113,0.2979550063610077,0.11797589063644409,0.8820241093635559,6
p,0.2,0,13,0.012878566980361938,0.460102915763855,0.29943108558654785,0.7005689144134521,4
p,0.2,0,14,0.014141055755317211,0.4471146762371063,0.3210788369178772,0.6789211630821228,3
p,0.2,0,15,0.0,0.0,0.0,1.0,0
p,0.2,1,0,0.039862241595983505,0.41165846586227417,0.21929270029067993,0.7807072997093201,22
p,0.2,1,1,0.03559151291847229,0.5290631651878357,0.3305230140686035,0.6694769859313965,22
p,0.2,1,2,0.030509289354085922,0.5588498115539551,0.36186808347702026,0.6381319165229797,19
p,0.2,1,3,0.014597104862332344,0.5607354044914246,0.3655792474746704,0.6344207525253296,10
p,0.2,1,4,0.04427922144532204,0.5546181201934814,0.40214914083480835,0.5978508591651917,8
p,0.2,1,5,0.020266147330403328,0.5567708611488342,0.3602835536003113,0.6397164463996887,12
p,0.2,1,6,0.017176764085888863,0.4646545946598053,0.24972933530807495,0.750270664691925,15
p,0.2,1,7,0.013172367587685585,0.4687184691429138,0.2507823705673218,0.7492176294326782,14
p,0.2,1,8,0.019889263436198235,0.3988910913467407,0.2685050368309021,0.7314949631690979,3
p,0.2,1,9,1.1102230246251565e-16,0.23686277866363525,0.11220794916152954,0.8877920508384705,2
p,0.2,1,10,0.0,0.0,0.0,1.0,0
p,0.2,1,11,0.0,0.0,0.0,1.0,1
p,0.2,1,12,0.0,0.0,0.0,1.0,0
p,0.2,1,13,0.0,0.0,0.0,1.0,1
p,0.2,1,14,0.006235081702470779,0.5134919881820679,0.3598787188529968,0.6401212811470032,4
p,0.2,1,15,0.0,0.0,0.0,1.0,0
p,0.2,2,0,0.037023160606622696,0.37865132093429565,0.19101178646087646,0.8089882135391235,18
p,0.2,2,1,0.016975201666355133,0.4591504633426666,0.24298059940338135,0.7570194005966187,16
p,0.2,2,2,0.008621287532150745,0.3653547465801239,0.170526385307312,0.829473614692688,6
p,0.2,2,3,0.02389662154018879,0.4917946457862854,0.3543447256088257,0.6456552743911743,4
p,0.2,2,4,0.03795226290822029,0.4738403558731079,0.29528653621673584,0.7047134637832642,9
p,0.2,2,5,0.023305455222725868,0.6050916910171509,0.4218948483467102,0.5781051516532898,13
p,0.2,2,6,0.030112475156784058,0.5247246026992798,0.32341593503952026,0.6765840649604797,18
p,0.2,2,7,0.015760352835059166,0.4461381733417511,0.22822457551956177,0.7717754244804382,17
p,0.2,2,8,0.03425753861665726,0.344807893037796,0.16707271337509155,0.8329272866249084,12
p,0.2,2,9,0.0009923899779096246,0.1668659895658493,0.032441139221191406,0.9675588607788086,9
p,0.2,2,10,0.0065603554248809814,0.17310957610607147,0.04058575630187988,0.9594142436981201,10
p,0.2,2,11,0.0314473882317543,0.2932024300098419,0.13698416948318481,0.8630158305168152,7
p,0.2,2,12,0.029851840808987617,0.2867099642753601,0.1280621886253357,0.8719378113746643,8
p,0.2,2,13,0.02890056185424328,0.3202095329761505,0.15334045886993408,0.8466595411300659,7
p,0.2,2,14,0.003365703858435154,0.15224027633666992,0.035390377044677734,0.9646096229553223,4
p,0.2,2,15,0.0,0.0,0.0,1.0,0
p,0.5,0,0,0.045307643711566925,0.4796404540538788,0.2950313687324524,0.7049686312675476,15
p,0.5,0,1,0.015357421711087227,0.5690413117408752,0.3768503665924072,0.6231496334075928,10
p,0.5,0,2,0.019317975267767906,0.4996911883354187,0.281819224357605,0.718180775642395,22
p,0.5,0,3,0.009463464841246605,0.5012798309326172,0.29799413681030273,0.7020058631896973,8
p,0.5,0,4,0.0015712367603555322,0.5411065220832825,0.44155120849609375,0.5584487915039062,3
p,0.5,0,5,0.015131707303225994,0.47463783621788025,0.32055026292800903,0.679449737071991,4
p,0.5,0,6,0.005714405793696642,0.2138112336397171,0.07714444398880005,0.9228555560112,3
p,0.5,0,7,0.0,0.0,0.0,1.0,0
p,0.5,0,8,0.0,0.0,0.0,1.0,0
p,0.5,0,9,0.0,0.0,0.0,1.0,0
p,0.5,0,10,0.0,0.6579697728157043,0.8658483922481537,0.1341516077518463,2
p,0.5,0,11,0.002277529798448086,0.6772384643554688,0.6145726144313812,0.3854273855686188,4
