param_name,param_value,trial_id,initial_variance,final_variance,variance_reduction,initial_range,final_range,final_mean,final_std,converged
p,0.2,0,4.197530864197531,4.6611111111111105,-0.11044117646795701,6,8,6.703703703703703,2.1589606552948366,False
p,0.2,1,4.197530864197531,1.5141975308641975,0.6392647058671235,6,8,7.382716049382716,1.230527338527754,False
p,0.2,2,4.197530864197531,1.5966049382716048,0.6196323529264147,6,7,6.580246913580247,1.2635683354182332,False
p,0.5,0,4.197530864197531,1.610493827160494,0.6163235293970817,6,8,7.802469135802469,1.2690523342874769,False
p,0.5,1,4.197530864197531,3.1253086419753084,0.25544117646450276,6,8,7.271604938271605,1.7678542479444703,False
p,0.5,2,4.197530864197531,5.212345679012346,-0.24176470587659332,6,8,7.012345679012346,2.2830562145975173,False
p,0.7,0,4.197530864197531,1.8679012345679014,0.554999999986778,6,8,8.209876543209877,1.3667118330386627,False
p,0.7,1,4.197530864197531,1.9456790123456789,0.5364705882225135,6,9,7.679012345679013,1.3948759845755747,False
p,0.7,2,4.197530864197531,3.262345679012346,0.22279411764175097,6,8,7.012345679012346,1.806196467445429,False
p,1.0,0,4.197530864197531,6.169753086419753,-0.46985294116527704,6,9,7.172839506172839,2.4838987673453508,False
p,1.0,1,4.197530864197531,9.481790123456788,-1.2588970587935375,6,8,6.234567901234568,3.0792515524810224,False
p,1.0,2,4.197530864197531,8.289197530864197,-0.974779411741483,6,8,6.382716049382716,2.879096651879578,False
