param_name,param_value,trial_id,initial_variance,final_variance,variance_reduction,initial_range,final_range,final_mean,final_std,converged
radius,0.25,0,4.197530864197531,1.3586419753086418,0.6763235293956523,6,8,8.061728395061728,1.1656079852629022,False
radius,0.25,1,4.197530864197531,2.2077160493827157,0.4740441176357655,6,8,7.3580246913580245,1.4858385004376202,False
radius,0.25,2,4.197530864197531,1.9327160493827162,0.5395588235165575,6,8,7.3580246913580245,1.390221582835886,False
radius,0.5,0,4.197530864197531,1.8317901234567902,0.5636029411630435,6,8,7.765432098765432,1.353436412786648,False
radius,0.5,1,4.197530864197531,2.977777777777778,0.2905882352871948,6,9,6.481481481481482,1.7256238807393047,False
radius,0.5,2,4.197530864197531,5.879012345679012,-0.40058823528457416,6,9,6.654320987654321,2.4246674711553773,False
radius,1.0,0,4.197530864197531,2.472530864197531,0.41095588234315067,6,8,7.950617283950617,1.57242833356485,False
radius,1.0,1,4.197530864197531,2.233641975308642,0.4678676470476773,6,8,7.938271604938271,1.494537378357812,False
radius,1.0,2,4.197530864197531,2.227777777777778,0.46926470587117336,6,8,8.185185185185185,1.492574211815874,False
radius,2.0,0,4.197530864197531,1.0114197530864197,0.7590441176289756,6,8,8.160493827160494,1.0056936676177393,False
radius,2.0,1,4.197530864197531,1.3651234567901238,0.6747794117486302,6,8,7.901234567901234,1.1683849779889006,False
radius,2.0,2,4.197530864197531,2.0861111111111112,0.5030147058703693,6,8,7.37037037037037,1.4443376028862196,False
radius,4.0,0,4.197530864197531,12.086419753086416,-1.8794117646611073,6,8,4.839506172839506,3.4765528549248916,False
radius,4.0,1,4.197530864197531,4.044444444444445,0.03647058823442508,6,8,7.925925925925926,2.011080417199781,False
radius,4.0,2,4.197530864197531,0.768827160493827,0.8168382352746577,6,8,7.864197530864198,0.8768278967356291,True
radius,8.0,0,4.197530864197531,3.349999999999999,0.20191176470107228,6,9,7.444444444444445,1.8303005217723125,False
radius,8.0,1,4.197530864197531,1.0114197530864197,0.7590441176289756,6,8,8.160493827160494,1.0056936676177393,False
radius,8.0,2,4.197530864197531,1.3095679012345678,0.688014705865962,6,8,8.123456790123457,1.1443635354355572,False
