param_value,timestep,variance,bimodality_kurtosis
1.0,0,4.283164782867341,-1.8286296296296296
1.0,1,4.302333267235111,-1.811888577832398
1.0,2,4.3626148456606515,-1.7635463247741217
1.0,3,4.568841298169079,-1.7149015716330587
1.0,4,4.844470883733228,-1.5682765011587554
1.0,5,5.175490779298038,-1.3896759413396755
1.0,6,4.853989027695156,-1.3176358445071412
1.0,7,4.857029545905216,-1.1815143034913977
1.0,8,4.905810033710094,-0.8556205294970689
1.0,9,4.355079648357459,-0.08694596844519475
1.0,10,4.169343644655958,0.5583812883613573
1.0,11,3.690395928349527,1.6891826611802756
1.0,12,3.246612466124661,3.6126028076844827
1.0,13,2.6888756692444975,4.9540142141123
1.0,14,2.410602154802036,5.830677535141431
1.0,15,2.032255932315421,9.04388160081612
1.0,16,1.9810959085200612,10.274001439557031
1.0,17,2.2324013484037284,6.86858118161472
1.0,18,2.2558001189767998,7.518363387722763
1.0,19,2.065569436182167,10.354479015935999
1.0,20,2.0366184149646376,10.251073151640005
2.0,0,4.283164782867341,-1.8286296296296296
2.0,1,4.367373917641614,-1.8111149159402695
2.0,2,4.4455020159957686,-1.7518643146293669
2.0,3,4.751272390772689,-1.6655935632914107
2.0,4,5.641615440544648,-1.409998565725219
2.0,5,5.67995240928019,-1.0309950262988896
2.0,6,4.614845660651729,0.09808287771980817
2.0,7,3.869257716967413,1.693036233519308
2.0,8,3.241721197699782,3.8812623218427165
2.0,9,2.1891731112433077,8.53000472589792
2.0,10,2.2000132196443913,9.214371437495794
2.0,11,2.277612532222883,8.499864896204597
2.0,12,2.0643796681869255,11.126282103245572
2.0,13,2.515566131271069,6.994606019951108
2.0,14,3.0134179390574394,4.8898473404267335
2.0,15,2.897613854187323,6.101513763473587
2.0,16,2.7683257320378085,5.364841274753655
2.0,17,4.4826492167360685,2.686436212286644
2.0,18,4.062396721528191,4.770309602683545
2.0,19,5.911163989688677,2.1070507871557327
2.0,20,6.118712406636262,1.4725303615974905
3.0,0,4.283164782867341,-1.8286296296296296
3.0,1,4.3253354484764355,-1.8194299012340263
3.0,2,4.578623835018837,-1.748427962136599
3.0,3,5.14336704342653,-1.394196854090058
3.0,4,5.066560909511534,-1.0258267633967957
3.0,5,4.4125851014607695,-0.12940029237747597
3.0,6,3.937735474915725,0.9987869204213231
3.0,7,3.028488333663824,3.257514266053044
3.0,8,2.5468966884790802,5.567988950315895
3.0,9,2.226584704871439,8.829490951828333
3.0,10,1.9627206028157842,12.191889889522143
3.0,11,2.147531231409875,11.734207533705229
3.0,12,2.062264525084275,12.285164534023668
3.0,13,1.7066560909511532,15.217423064161654
3.0,14,1.798268226584705,13.047256822653331
3.0,15,2.097296582721925,8.860094704680579
3.0,16,2.3336638244431223,5.454390753251253
3.0,17,2.9518143961927423,3.308042777669744
3.0,18,3.1046334853592445,3.114440792230589
3.0,19,2.7365985854980504,5.364682791355117
3.0,20,3.2942031859342986,4.931515885053993
4.0,0,4.283164782867341,-1.8286296296296296
4.0,1,4.283164782867341,-1.8286296296296296
4.0,2,4.56884129816908,-1.7381182501550838
4.0,3,5.397316412188511,-1.4013955178457436
4.0,4,4.661511005353956,0.2934328700066513
4.0,5,3.7180249851278995,1.8840137216000024
4.0,6,3.12208341595611,5.2643590623897065
4.0,7,1.8379271597594025,13.359792694742112
4.0,8,2.0269680745587944,10.482986389302846
4.0,9,2.1829598783792714,12.024554004343473
4.0,10,1.8668781809769317,12.675352665036582
4.0,11,2.4573996959481783,8.418745758457993
4.0,12,3.1926763170070718,4.926431677316211
4.0,13,3.3616233723312843,3.7860596013688665
4.0,14,3.1913543525679167,3.973159559404082
4.0,15,2.597395730054861,5.183291986395414
4.0,16,2.5825897283363073,5.214054595485035
4.0,17,2.4441800515566126,5.409513677181765
4.0,18,3.3020027761253226,3.5255883260382275
4.0,19,4.3642012029876405,1.2567085456236065
4.0,20,4.209002577830657,1.7482847877568979
