param_name,param_value,trial_id,initial_variance,final_variance,variance_reduction,initial_range,final_range,final_mean,final_std,converged
p,0.1,0,6.5538461538461545,0.8711538461538462,0.8670774647755024,9,4,8.275,0.9333562268254528,True
p,0.1,1,7.358333333333334,1.6794871794871795,0.7717571216900083,9,6,8.25,1.2959502997751031,False
p,0.1,2,9.566666666666666,1.5384615384615385,0.8391852050300916,9,7,8.0,1.2403473458920846,False
p,0.3,0,8.609615384615385,1.8198717948717946,0.7886233340687198,9,8,7.975,1.3490262395045527,False
p,0.3,1,9.086538461538462,1.6096153846153847,0.8228571428480871,9,7,7.675,1.2687061852987809,False
p,0.3,2,8.705128205128204,1.6660256410256409,0.8086156111836418,9,7,7.775,1.2907461566960565,False
p,0.5,0,7.907051282051282,1.6307692307692312,0.7937576003142418,9,7,8.1,1.2770157519659775,False
p,0.5,1,6.602564102564102,1.1179487179487178,0.8306796116379043,9,5,8.1,1.0573309405993554,False
p,0.5,2,8.891666666666666,2.583974358974359,0.7093936990764425,9,9,7.925,1.6074745282505596,False
p,0.7,0,6.840384615384616,0.2846153846153846,0.958391903275278,9,2,8.85,0.533493565673837,True
p,0.7,1,9.33076923076923,0.2666666666666667,0.9714207199676049,9,2,8.2,0.5163977794943223,True
p,0.7,2,9.830128205128204,8.08974358974359,0.1770459732619746,9,9,7.25,2.8442474557857285,False
