param_name,param_value,trial_id,initial_variance,final_variance,variance_reduction,initial_range,final_range,final_mean,final_std,converged
p,0.1,0,4.390243902439025,4.797560975609756,-0.09277777777566448,6,8,7.048780487804878,2.190333530677407,False
p,0.1,1,4.390243902439025,2.759756097560975,0.37138888888042965,6,8,7.121951219512195,1.6612513649538336,False
p,0.1,2,4.390243902439025,2.4609756097560975,0.4394444444344349,6,8,7.804878048780488,1.5687496963365755,False
p,0.3,0,4.390243902439025,11.2109756097561,-1.5536111110757236,6,8,4.195121951219512,3.348279499945621,False
p,0.3,1,4.390243902439025,1.7719512195121951,0.5963888888753045,6,8,7.682926829268292,1.33114658077621,False
p,0.3,2,4.390243902439025,2.0878048780487806,0.5244444444324988,6,8,7.365853658536586,1.4449238312273698,False
p,0.5,0,4.390243902439025,8.295121951219514,-0.8894444444241851,6,8,6.829268292682927,2.88012533602611,False
p,0.5,1,4.390243902439025,3.3012195121951224,0.24805555554990535,6,8,7.2682926829268295,1.8169258411380258,False
p,0.5,2,4.390243902439025,3.352439024390243,0.2363888888835047,6,8,7.439024390243903,1.8309666912290468,False
p,0.7,0,4.390243902439025,2.854878048780488,0.34972222221425636,6,8,7.463414634146342,1.6896384372937565,False
p,0.7,1,4.390243902439025,1.678048780487805,0.6177777777637061,6,8,8.146341463414634,1.2953952217326592,False
p,0.7,2,4.390243902439025,5.904878048780487,-0.3449999999921414,6,8,7.536585365853658,2.4299954832839683,False
